experiment,mrr,map,ndcg_at_k,precision_at_k,recall_at_k,f1_score_at_k
fixed_1024_0,0.6624156039009752,0.6396786696674168,0.6834185292565647,0.46186546636659165,0.7717566502231764,0.5457055370539527
fixed_1024_128,0.6593940151704593,0.6396449806896168,0.6919921451949554,0.470717679419855,0.7844060767580981,0.5559951506164742
fixed_128_0,0.44106026506626655,0.42599052540913,0.42625233291829284,0.29532383095773945,0.4871486722741177,0.3472538617275525
fixed_128_16,0.45093356672501456,0.43637124558917506,0.4331969109810801,0.3034258564641161,0.4942028040127331,0.35492330173569603
fixed_256_0,0.5415187130115863,0.5218349726320469,0.5456601596110011,0.3747436859214804,0.6248978466466195,0.4430236827523293
fixed_256_32,0.5475827290155872,0.5308504209385679,0.5601874126172607,0.38694673668417107,0.6428097227436725,0.4568740110355727
fixed_512_0,0.6029799116445778,0.5829297602178322,0.6209751860789302,0.424956239059765,0.707082258251335,0.5016793107405256
fixed_512_64,0.6058097857797783,0.5869432635936762,0.632509556033542,0.43485871467866966,0.7224202713247302,0.5134080063270738
recursive_1024_128,0.6464449445694757,0.6316415909532939,0.683659349474435,0.46621655413853463,0.776011822397089,0.5498900608528887
recursive_128_16,0.41421605401350337,0.40445493317773884,0.39778802505326877,0.27486871717929484,0.4553143806406211,0.3234000628122991
recursive_256_32,0.5103650912728183,0.4943013531160568,0.5104763426765881,0.3527881970492623,0.5844047470680017,0.41540391509992874
recursive_512_64,0.5918854713678419,0.5752448528798867,0.6145615089423199,0.42100525131282823,0.6998316071720797,0.4970096364789605
sentence_s1,0.21664166041510377,0.21470124475563335,0.19075491225574362,0.13173293323330834,0.21620055603786636,0.15459318147333737
sentence_s10,0.48612153038259565,0.47007411575116004,0.46925212788114207,0.32093023255813957,0.5335731681466932,0.37854783009340087
sentence_s3,0.3558264566141536,0.3450772415326054,0.32475039336971256,0.22140535133783446,0.36849688134509145,0.26121915498182874
sentence_s5,0.4074601983829291,0.39547491039426524,0.37953719698263283,0.2596649162290573,0.42938575266886053,0.3056046107402625
